H Mass Fractions
H 1 Msun, Z=0.0100 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & H-1       & 7.043E-01 & \\ 
 & H-2       & 4.240E-06 & \\ 
 & He-3      & 3.505E-04 & \\ 
 & He-4      & 2.798E-01 & \\ 
 & Be-7      & 3.818E-11 & \\ 
 & B-8       & 6.558E-19 & \\ 
 & Li-7      & 1.261E-11 & \\ 
 & C-11      & 0.000E+00 & \\ 
 & B-11      & 1.428E-09 & \\ 
 & C-12      & 5.324E-03 & \\ 
 & C-13      & 5.079E-05 & \\ 
 & N-13      & 2.270E-21 & \\ 
 & N-14      & 1.219E-03 & \\ 
 & C-14      & 1.604E-09 & \\ 
 & N-15      & 1.029E-06 & \\ 
 & O-16      & 5.955E-03 & \\ 
 & O-17      & 8.389E-06 & \\ 
 & O-18      & 8.020E-06 & \\ 
 & F-17      & 0.000E+00 & \\ 
 & F-18      & 0.000E+00 & \\ 
 & F-19      & 4.302E-07 & \\ 
 & Ne-20     & 9.083E-04 & \\ 
 & Ne-21     & 2.289E-06 & \\ 
 & Ne-22     & 1.846E-04 & \\ 
 & Na-22     & 4.578E-19 & \\ 
 & Na-23     & 2.327E-05 & \\ 
 & Mg-23     & 0.000E+00 & \\ 
 & Mg-24     & 2.950E-04 & \\ 
 & Mg-25     & 4.022E-05 & \\ 
 & Mg-26     & 4.771E-05 & \\ 
 & Al-26     & 6.837E-08 & \\ 
 & Al-27     & 3.286E-05 & \\ 
 & Si-27     & 0.000E+00 & \\ 
 & Si-28     & 3.726E-04 & \\ 
 & Si-29     & 1.964E-05 & \\ 
 & Si-30     & 1.349E-05 & \\ 
 & P-31      & 3.564E-06 & \\ 
 & S-31      & 0.000E+00 & \\ 
 & Be-8      & 0.000E+00 & \\ 
 & O-14      & 0.000E+00 & \\ 
 & O-15      & 3.924E-25 & \\ 
 & Na-21     & 0.000E+00 & \\ 
 & Al-25     & 0.000E+00 & \\ 
 & P-29      & 0.000E+00 & \\ 
 & P-30      & 0.000E+00 & \\ 
 & Pb-206    & 1.512E-09 & \\ 
 & Pb-207    & 1.641E-09 & \\ 
 & Bi-211    & 0.000E+00 & \\ 
 & Po-210    & 1.675E-23 & \\ 
 & F-20      & 0.000E+00 & \\ 
 & Ne-19     & 0.000E+00 & \\ 
 & Na-24     & 0.000E+00 & \\ 
 & Mg-27     & 0.000E+00 & \\ 
 & Mg-28     & 0.000E+00 & \\ 
 & Al-28     & 0.000E+00 & \\ 
 & Al-29     & 0.000E+00 & \\ 
 & Si-31     & 0.000E+00 & \\ 
 & Si-32     & 1.224E-13 & \\ 
 & P-32      & 2.779E-17 & \\ 
 & P-33      & 0.000E+00 & \\ 
 & P-34      & 0.000E+00 & \\ 
 & P-35      & 0.000E+00 & \\ 
 & S-32      & 2.004E-04 & \\ 
 & S-33      & 1.657E-06 & \\ 
 & S-34      & 9.472E-06 & \\ 
 & S-35      & 0.000E+00 & \\ 
 & S-36      & 4.480E-08 & \\ 
 & S-37      & 0.000E+00 & \\ 
 & S-38      & 0.000E+00 & \\ 
 & Cl-34     & 0.000E+00 & \\ 
 & Cl-35     & 3.404E-06 & \\ 
 & Cl-36     & 1.962E-09 & \\ 
 & Cl-37     & 1.210E-06 & \\ 
 & Cl-38     & 0.000E+00 & \\ 
 & Cl-39     & 0.000E+00 & \\ 
 & Cl-40     & 0.000E+00 & \\ 
 & Ar-35     & 0.000E+00 & \\ 
 & Ar-36     & 4.094E-05 & \\ 
 & Ar-37     & 7.654E-14 & \\ 
 & Ar-38     & 7.890E-06 & \\ 
 & Ar-39     & 7.660E-10 & \\ 
 & Ar-40     & 1.374E-08 & \\ 
 & Ar-41     & 0.000E+00 & \\ 
 & Ar-42     & 1.902E-18 & \\ 
 & Ar-43     & 0.000E+00 & \\ 
 & Ar-44     & 0.000E+00 & \\ 
 & K-38      & 0.000E+00 & \\ 
 & K-39      & 1.950E-06 & \\ 
 & K-40      & 2.236E-09 & \\ 
 & K-41      & 1.539E-07 & \\ 
 & K-42      & 8.324E-23 & \\ 
 & K-43      & 0.000E+00 & \\ 
 & K-44      & 0.000E+00 & \\ 
 & K-45      & 0.000E+00 & \\ 
 & K-46      & 0.000E+00 & \\ 
 & Ca-39     & 0.000E+00 & \\ 
 & Ca-40     & 3.608E-05 & \\ 
 & Ca-41     & 7.520E-09 & \\ 
 & Ca-42     & 2.593E-07 & \\ 
 & Ca-43     & 5.504E-08 & \\ 
 & Ca-44     & 8.550E-07 & \\ 
 & Ca-45     & 0.000E+00 & \\ 
 & Ca-46     & 1.740E-09 & \\ 
 & Ca-47     & 0.000E+00 & \\ 
 & Ca-48     & 8.361E-08 & \\ 
 & Ca-49     & 0.000E+00 & \\ 
 & Sc-43     & 0.000E+00 & \\ 
 & Sc-44     & 0.000E+00 & \\ 
 & Sc-45     & 2.772E-08 & \\ 
 & Sc-46     & 0.000E+00 & \\ 
 & Sc-47     & 0.000E+00 & \\ 
 & Sc-48     & 0.000E+00 & \\ 
 & Sc-49     & 0.000E+00 & \\ 
 & Sc-50     & 0.000E+00 & \\ 
 & Ti-44     & 2.204E-26 & \\ 
 & Ti-45     & 0.000E+00 & \\ 
 & Ti-46     & 1.617E-07 & \\ 
 & Ti-47     & 1.483E-07 & \\ 
 & Ti-48     & 1.501E-06 & \\ 
 & Ti-49     & 1.180E-07 & \\ 
 & Ti-50     & 1.131E-07 & \\ 
 & Ti-51     & 0.000E+00 & \\ 
 & Ti-52     & 0.000E+00 & \\ 
 & V-47      & 0.000E+00 & \\ 
 & V-48      & 0.000E+00 & \\ 
 & V-49      & 1.010E-19 & \\ 
 & V-50      & 5.048E-10 & \\ 
 & V-51      & 2.070E-07 & \\ 
 & V-52      & 0.000E+00 & \\ 
 & V-53      & 0.000E+00 & \\ 
 & Cr-48     & 0.000E+00 & \\ 
 & Cr-49     & 0.000E+00 & \\ 
 & Cr-50     & 4.108E-07 & \\ 
 & Cr-51     & 3.761E-12 & \\ 
 & Cr-52     & 8.278E-06 & \\ 
 & Cr-53     & 9.568E-07 & \\ 
 & Cr-54     & 2.548E-07 & \\ 
 & Cr-55     & 0.000E+00 & \\ 
 & Cr-56     & 0.000E+00 & \\ 
 & Mn-51     & 0.000E+00 & \\ 
 & Mn-52     & 0.000E+00 & \\ 
 & Mn-53     & 1.536E-19 & \\ 
 & Mn-54     & 3.433E-20 & \\ 
 & Mn-55     & 5.522E-06 & \\ 
 & Mn-56     & 0.000E+00 & \\ 
 & Mn-57     & 0.000E+00 & \\ 
 & Fe-52     & 0.000E+00 & \\ 
 & Fe-53     & 0.000E+00 & \\ 
 & Fe-54     & 4.040E-05 & \\ 
 & Fe-55     & 3.124E-08 & \\ 
 & Fe-56     & 6.597E-04 & \\ 
 & Fe-57     & 1.610E-05 & \\ 
 & Fe-58     & 2.634E-06 & \\ 
 & Fe-59     & 0.000E+00 & \\ 
 & Fe-60     & 1.132E-09 & \\ 
 & Fe-61     & 0.000E+00 & \\ 
 & Co-55     & 0.000E+00 & \\ 
 & Co-56     & 1.988E-22 & \\ 
 & Co-57     & 3.874E-19 & \\ 
 & Co-58     & 1.007E-17 & \\ 
 & Co-59     & 2.099E-06 & \\ 
 & Co-60     & 1.739E-14 & \\ 
 & Co-61     & 0.000E+00 & \\ 
 & Co-62     & 0.000E+00 & \\ 
 & Co-63     & 0.000E+00 & \\ 
