H Mass Fractions
H 1 Msun, Z=0.0200 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & H-1       & 6.826E-01 & \\ 
 & H-2       & 4.273E-06 & \\ 
 & He-3      & 3.646E-04 & \\ 
 & He-4      & 2.925E-01 & \\ 
 & Be-7      & 1.291E-10 & \\ 
 & B-8       & 1.153E-27 & \\ 
 & Li-7      & 2.672E-11 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 2.856E-09 & \\ 
 & C-12      & 5.835E-03 & \\ 
 & C-13      & 1.037E-04 & \\ 
 & N-13      & 4.260E-21 & \\ 
 & N-14      & 2.350E-03 & \\ 
 & C-14      & 4.349E-09 & \\ 
 & N-15      & 2.142E-06 & \\ 
 & O-16      & 1.017E-02 & \\ 
 & O-17      & 1.184E-05 & \\ 
 & O-18      & 1.655E-05 & \\ 
 & F-17      & 1.000E-99 & \\ 
 & F-18      & 1.000E-99 & \\ 
 & F-19      & 8.691E-07 & \\ 
 & Ne-20     & 1.816E-03 & \\ 
 & Ne-21     & 4.548E-06 & \\ 
 & Ne-22     & 3.534E-04 & \\ 
 & Na-22     & 1.742E-16 & \\ 
 & Na-23     & 4.472E-05 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 5.887E-04 & \\ 
 & Mg-25     & 7.902E-05 & \\ 
 & Mg-26     & 9.327E-05 & \\ 
 & Al-26     & 1.900E-07 & \\ 
 & Al-27     & 6.547E-05 & \\ 
 & Si-27     & 1.000E-99 & \\ 
 & Si-28     & 7.452E-04 & \\ 
 & Si-29     & 3.925E-05 & \\ 
 & Si-30     & 2.690E-05 & \\ 
 & P-31      & 7.120E-06 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 1.000E-99 & \\ 
 & O-15      & 7.198E-25 & \\ 
 & Na-21     & 1.000E-99 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 1.000E-99 & \\ 
 & P-30      & 1.000E-99 & \\ 
 & Pb-206    & 2.814E-09 & \\ 
 & Pb-207    & 3.098E-09 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 8.227E-24 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 1.000E-99 & \\ 
 & Na-24     & 1.000E-99 & \\ 
 & Mg-27     & 1.000E-99 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
 & Al-28     & 1.000E-99 & \\ 
 & Al-29     & 1.000E-99 & \\ 
 & Si-31     & 1.000E-99 & \\ 
 & Si-32     & 1.048E-13 & \\ 
 & P-32      & 2.379E-17 & \\ 
 & P-33      & 1.000E-99 & \\ 
 & P-34      & 1.000E-99 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 4.009E-04 & \\ 
 & S-33      & 3.308E-06 & \\ 
 & S-34      & 1.893E-05 & \\ 
 & S-35      & 1.000E-99 & \\ 
 & S-36      & 8.651E-08 & \\ 
 & S-37      & 1.000E-99 & \\ 
 & S-38      & 1.000E-99 & \\ 
 & Cl-34     & 1.000E-99 & \\ 
 & Cl-35     & 6.812E-06 & \\ 
 & Cl-36     & 3.592E-09 & \\ 
 & Cl-37     & 2.391E-06 & \\ 
 & Cl-38     & 1.000E-99 & \\ 
