H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 2.721E-28 & \\ 
 & H-1       & 1.437E-02 & \\ 
 & H-2       & 1.139E-16 & \\ 
 & He-3      & 1.341E-06 & \\ 
 & He-4      & 3.253E-01 & \\ 
 & Be-7      & 2.987E-07 & \\ 
 & B-8       & 3.111E-15 & \\ 
 & Li-7      & 3.890E-11 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 1.715E-10 & \\ 
 & C-12      & 4.354E-01 & \\ 
 & C-13      & 2.483E-02 & \\ 
 & N-13      & 2.716E-08 & \\ 
 & N-14      & 3.096E-03 & \\ 
 & C-14      & 1.718E-04 & \\ 
 & N-15      & 8.985E-08 & \\ 
 & O-16      & 1.881E-01 & \\ 
 & O-17      & 4.075E-04 & \\ 
 & O-18      & 1.118E-07 & \\ 
 & F-17      & 1.979E-12 & \\ 
 & F-18      & 4.665E-12 & \\ 
 & F-19      & 4.308E-06 & \\ 
 & Ne-20     & 5.687E-04 & \\ 
 & Ne-21     & 4.687E-06 & \\ 
 & Ne-22     & 6.890E-03 & \\ 
 & Na-22     & 1.404E-06 & \\ 
 & Na-23     & 8.158E-05 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 1.116E-04 & \\ 
 & Mg-25     & 6.638E-05 & \\ 
 & Mg-26     & 2.265E-04 & \\ 
 & Al-26     & 2.305E-08 & \\ 
 & Al-27     & 6.964E-06 & \\ 
 & Si-27     & 5.890E-23 & \\ 
 & Si-28     & 8.278E-05 & \\ 
 & Si-29     & 7.274E-06 & \\ 
 & Si-30     & 2.469E-05 & \\ 
 & P-31      & 6.356E-06 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 3.884E-17 & \\ 
 & O-15      & 6.597E-13 & \\ 
 & Na-21     & 1.322E-17 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 4.269E-25 & \\ 
 & P-30      & 1.231E-20 & \\ 
 & Pb-206    & 5.879E-10 & \\ 
 & Pb-207    & 5.620E-10 & \\ 
 & Bi-211    & 9.771E-31 & \\ 
 & Po-210    & 6.026E-12 & \\ 
 & F-20      & 9.271E-27 & \\ 
 & Ne-19     & 1.354E-23 & \\ 
 & Na-24     & 5.617E-14 & \\ 
 & Mg-27     & 2.333E-24 & \\ 
 & Mg-28     & 1.931E-16 & \\ 
 & Al-28     & 3.452E-19 & \\ 
 & Al-29     & 3.251E-28 & \\ 
 & Si-31     & 2.951E-18 & \\ 
 & Si-32     & 1.213E-07 & \\ 
 & P-32      & 1.837E-09 & \\ 
 & P-33      & 1.041E-08 & \\ 
 & P-34      & 5.195E-28 & \\ 
 & P-35      & 9.765E-42 & \\ 
 & S-32      & 4.120E-05 & \\ 
 & S-33      & 1.148E-06 & \\ 
 & S-34      & 5.089E-06 & \\ 
 & S-35      & 2.417E-08 & \\ 
 & S-36      & 4.386E-07 & \\ 
 & S-37      & 7.136E-27 & \\ 
 & S-38      & 6.070E-24 & \\ 
 & Cl-34     & 9.150E-27 & \\ 
 & Cl-35     & 1.458E-07 & \\ 
 & Cl-36     & 9.577E-09 & \\ 
