H Mass Fractions
H 3 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & H-1       & 7.050E-01 & \\ 
 & H-2       & 6.297E-18 & \\ 
 & He-3      & 1.218E-04 & \\ 
 & He-4      & 2.870E-01 & \\ 
 & Be-7      & 0.000E+00 & \\ 
 & B-8       & 0.000E+00 & \\ 
 & Li-7      & 3.555E-14 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 2.858E-12 & \\ 
 & C-12      & 5.825E-03 & \\ 
 & C-13      & 1.777E-05 & \\ 
 & N-13      & 0.000E+00 & \\ 
 & N-14      & 1.704E-05 & \\ 
 & C-14      & 2.558E-08 & \\ 
 & N-15      & 5.086E-10 & \\ 
 & O-16      & 1.959E-03 & \\ 
 & O-17      & 6.146E-07 & \\ 
 & O-18      & 1.361E-08 & \\ 
 & F-17      & 0.000E+00 & \\ 
 & F-18      & 0.000E+00 & \\ 
 & F-19      & 2.632E-08 & \\ 
 & Ne-20     & 5.134E-05 & \\ 
 & Ne-21     & 1.079E-06 & \\ 
 & Ne-22     & 3.217E-05 & \\ 
 & Na-22     & 0.000E+00 & \\ 
 & Na-23     & 6.843E-07 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 2.512E-06 & \\ 
 & Mg-25     & 6.514E-06 & \\ 
 & Mg-26     & 2.264E-05 & \\ 
 & Al-26     & 4.676E-10 & \\ 
 & Al-27     & 4.849E-07 & \\ 
 & Si-27     & 0.000E+00 & \\ 
 & Si-28     & 1.877E-06 & \\ 
 & Si-29     & 8.327E-08 & \\ 
 & Si-30     & 9.248E-08 & \\ 
 & P-31      & 3.014E-08 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Li-6      & 3.888E-11 & \\ 
 & Be-8      & 0.000E+00 & \\ 
 & O-14      & 1.501E-23 & \\ 
 & O-15      & 0.000E+00 & \\ 
 & Na-21     & 0.000E+00 & \\ 
 & Al-25     & 0.000E+00 & \\ 
 & P-29      & 1.585E-32 & \\ 
 & P-30      & 9.526E-29 & \\ 
 & Pb-206    & 1.807E-11 & \\ 
 & Pb-207    & 1.691E-11 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 9.512E-19 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 3.174E-32 & \\ 
 & Na-24     & 7.919E-31 & \\ 
 & Mg-27     & 1.565E-33 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
 & Al-28     & 8.316E-34 & \\ 
 & Al-29     & 1.000E-99 & \\ 
 & Si-31     & 2.612E-32 & \\ 
 & Si-32     & 7.467E-11 & \\ 
 & P-32      & 1.695E-14 & \\ 
 & P-33      & 1.216E-29 & \\ 
 & P-34      & 1.000E-99 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 1.089E-06 & \\ 
 & S-33      & 3.539E-09 & \\ 
 & S-34      & 2.060E-08 & \\ 
 & S-35      & 0.000E+00 & \\ 
 & S-36      & 3.199E-10 & \\ 
 & S-37      & 1.000E-99 & \\ 
 & S-38      & 1.000E-99 & \\ 
 & Cl-34     & 1.000E-99 & \\ 
 & Cl-35     & 6.792E-09 & \\ 
 & Cl-36     & 3.781E-12 & \\ 
 & Cl-37     & 2.941E-09 & \\ 
 & Cl-38     & 4.532E-37 & \\ 
 & Cl-39     & 1.000E-99 & \\ 
 & Cl-40     & 1.000E-99 & \\ 
 & Ar-35     & 1.000E-99 & \\ 
 & Ar-36     & 1.620E-07 & \\ 
 & Ar-37     & 4.489E-13 & \\ 
 & Ar-38     & 1.634E-08 & \\ 
 & Ar-39     & 1.145E-10 & \\ 
 & Ar-40     & 2.505E-10 & \\ 
 & Ar-41     & 3.073E-37 & \\ 
 & Ar-42     & 2.972E-14 & \\ 
 & Ar-43     & 1.000E-99 & \\ 
 & Ar-44     & 1.000E-99 & \\ 
 & K-38      & 1.000E-99 & \\ 
 & K-39      & 3.934E-09 & \\ 
 & K-40      & 6.061E-12 & \\ 
 & K-41      & 3.295E-10 & \\ 
 & K-42      & 1.300E-18 & \\ 
 & K-43      & 1.000E-99 & \\ 
 & K-44      & 1.000E-99 & \\ 
 & K-45      & 1.000E-99 & \\ 
 & K-46      & 1.000E-99 & \\ 
 & Ca-39     & 1.000E-99 & \\ 
 & Ca-40     & 1.194E-07 & \\ 
 & Ca-41     & 1.171E-11 & \\ 
 & Ca-42     & 5.749E-10 & \\ 
 & Ca-43     & 1.289E-10 & \\ 
 & Ca-44     & 1.800E-09 & \\ 
 & Ca-45     & 2.571E-21 & \\ 
 & Ca-46     & 5.761E-11 & \\ 
 & Ca-47     & 5.631E-35 & \\ 
 & Ca-48     & 1.680E-10 & \\ 
 & Ca-49     & 1.000E-99 & \\ 
 & Sc-43     & 1.000E-99 & \\ 
 & Sc-44     & 1.000E-99 & \\ 
 & Sc-45     & 8.339E-11 & \\ 
 & Sc-46     & 2.397E-28 & \\ 
 & Sc-47     & 2.948E-35 & \\ 
 & Sc-48     & 1.000E-99 & \\ 
 & Sc-49     & 1.000E-99 & \\ 
 & Sc-50     & 1.000E-99 & \\ 
 & Ti-44     & 3.036E-27 & \\ 
 & Ti-45     & 1.000E-99 & \\ 
 & Ti-46     & 3.385E-10 & \\ 
 & Ti-47     & 3.077E-10 & \\ 
 & Ti-48     & 5.330E-09 & \\ 
 & Ti-49     & 2.555E-10 & \\ 
 & Ti-50     & 3.591E-10 & \\ 
 & Ti-51     & 1.000E-99 & \\ 
 & Ti-52     & 1.000E-99 & \\ 
 & V-47      & 1.000E-99 & \\ 
 & V-48      & 1.000E-99 & \\ 
 & V-49      & 4.699E-19 & \\ 
 & V-50      & 1.003E-12 & \\ 
 & V-51      & 4.200E-10 & \\ 
 & V-52      & 2.712E-40 & \\ 
